ts,mem_total_mb,mem_used_mb,mem_avail_mb,buffcache_mb,swap_used_mb,containers
17:40:20,8058,543,7515,2242,0,0
17:40:50,8058,1698,6359,2969,0,0
17:41:20,8058,1222,6836,3799,0,0
17:41:50,8058,1197,6860,3799,0,0
17:42:20,8058,1189,6868,3799,0,0
17:42:51,8058,1188,6869,3800,0,0
17:43:21,8058,1197,6860,3800,0,0
17:43:51,8058,1213,6845,3821,0,0
17:44:21,8058,677,7380,4092,0,0
17:44:51,8058,1275,6782,6652,0,0
17:45:21,8058,787,7270,6563,0,0
17:45:51,8058,756,7301,7253,0,0
17:46:21,8058,837,7221,7037,0,0
17:46:51,8058,770,7287,7108,0,0
17:47:21,8058,1695,6363,6343,0,0
17:47:51,8058,1186,6871,6369,0,0
17:48:21,8058,1367,6691,6292,0,0
17:48:51,8058,780,7277,6742,0,0
17:49:21,8058,748,7309,7198,0,0
17:49:51,8058,1192,6866,6858,0,6
17:50:23,8058,1065,6992,6847,0,7
17:50:55,8058,1016,7041,6848,0,7
17:51:27,8058,1016,7042,6848,0,7
17:52:00,8058,1025,7033,6848,0,7
17:52:32,8058,1018,7040,6848,0,7
17:53:04,8058,1018,7039,6848,0,7
17:53:36,8058,1034,7023,6848,0,7
17:54:08,8058,1018,7040,6848,0,7
17:54:40,8058,1023,7034,6848,0,7
17:55:12,8058,1025,7033,6849,0,7
17:55:45,8058,1027,7031,6849,0,7
17:56:17,8058,1019,7039,6849,0,7
17:56:49,8058,1027,7031,6849,0,7
17:57:21,8058,1028,7029,6849,0,7
17:57:53,8058,1033,7024,6849,0,7
17:58:25,8058,1023,7034,6849,0,7
17:58:57,8058,1032,7025,6849,0,7
17:59:30,8058,1030,7027,6849,0,7
18:00:02,8058,1025,7033,6850,0,7
18:00:33,8058,1022,7036,6850,0,7
18:01:05,8058,1023,7034,6850,0,7
18:01:37,8058,1020,7038,6850,0,7
18:02:09,8058,1020,7037,6850,0,7
18:02:41,8058,1025,7032,6850,0,7
18:03:14,8058,1033,7024,6850,0,7
18:03:46,8058,1030,7027,6851,0,7
18:04:18,8058,1025,7032,6851,0,7
18:04:50,8058,1023,7035,6851,0,7
18:05:22,8058,1025,7033,6851,0,7
18:05:54,8058,1020,7037,6851,0,7
18:06:26,8058,1023,7034,6851,0,7
18:06:58,8058,1026,7032,6851,0,7
18:07:31,8058,1015,7042,6851,0,7
18:08:03,8058,1033,7025,6852,0,7
18:08:35,8058,1025,7032,6852,0,7
18:09:07,8058,1017,7040,6852,0,7
18:09:39,8058,1020,7038,6852,0,7
18:10:11,8058,1020,7037,6852,0,7
18:10:43,8058,1040,7017,6852,0,7
18:11:16,8058,1027,7030,6852,0,7
18:11:48,8058,1043,7014,6853,0,7
18:12:20,8058,1052,7005,6853,0,7
18:12:52,8058,1019,7038,6853,0,7
18:13:24,8058,1030,7027,6853,0,7
18:13:56,8058,1025,7032,6853,0,7
18:14:29,8058,1029,7029,6854,0,7
18:15:01,8058,1025,7033,6854,0,7
18:15:33,8058,1055,7003,6839,0,7
18:16:05,8058,1401,6657,6590,0,11
18:16:37,8058,1345,6713,6591,0,11
18:17:09,8058,1231,6826,6591,0,11
18:17:41,8058,1242,6815,6591,0,11
18:18:14,8058,1235,6823,6591,0,11
18:18:46,8058,1241,6816,6591,0,11
